City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,nikolayevsk-on-amure,53.1406,140.73,272.99,98,100,0.69,RU,1682533060
271,mount pearl,47.5166,-52.7813,277.57,81,100,8.75,CA,1682533060
272,antsiranana,-12.2787,49.2917,298.12,91,100,3.06,MG,1682533061
273,kolonia town,6.964,158.206,301.39,79,93,7.58,FM,1682533061
274,chiang kham,19.5233,100.3,297.32,76,44,1.32,TH,1682533061
275,popondetta,-8.7537,148.2534,296.49,90,84,1.29,PG,1682533062
276,ponta delgada,37.7333,-25.6667,291.55,88,20,7.2,PT,1682533062
277,puerto aysen,-45.4,-72.7,284.17,66,40,7.2,CL,1682533063
278,qamdo,31.1667,97.2333,271.67,64,96,2.12,CN,1682533063
279,puerto baquerizo moreno,-0.9,-89.6,302.7,70,20,2.06,EC,1682533064
280,sarangani,5.4033,125.4636,302.05,73,100,7.49,PH,1682533065
281,naze,28.3667,129.4833,288.66,68,2,4.29,JP,1682533065
282,malabar,-33.9667,151.25,290.25,86,40,3.6,AU,1682532866
283,sovetskiy,61.3614,63.5842,281.78,95,100,1.0,RU,1682533065
284,gonzaga,44.9498,10.8209,291.51,48,92,3.54,IT,1682533066
285,queenstown,-31.8976,26.8753,291.4,34,6,2.94,ZA,1682533066
286,norilsk,69.3535,88.2027,266.72,98,99,2.01,RU,1682533067
287,hamilton,39.1834,-84.5333,290.33,53,0,2.06,US,1682533067
288,jhang sadr,31.2715,72.3284,301.72,17,94,1.06,PK,1682533067
289,howard springs,-12.497,131.047,300.1,97,46,3.04,AU,1682533068
290,kaga bandoro,6.9896,19.1874,297.88,68,98,2.03,CF,1682533069
291,muswellbrook,-32.2667,150.9,284.44,93,95,0.49,AU,1682533069
292,camlachie,43.036,-82.1616,281.94,74,75,5.14,CA,1682533069
293,fortuna,40.5982,-124.1573,293.11,73,94,0.89,US,1682533070
294,boizenburg,53.3833,10.7167,281.55,64,93,4.08,DE,1682533070
295,el calafate,-50.3408,-72.2768,280.53,57,83,4.19,AR,1682533071
296,el tigre,8.8875,-64.2454,304.69,45,79,3.61,VE,1682533071
297,keflavik,64.0049,-22.5624,277.1,93,100,6.69,IS,1682533072
298,margate,51.3813,1.3862,283.09,65,59,1.79,GB,1682533072
299,pyrzyce,53.1462,14.8926,281.08,79,98,3.37,PL,1682533072
300,wynyard,-41.0,145.7167,289.81,93,100,5.46,AU,1682533073
301,gunjur,13.2019,-16.7339,300.19,65,0,4.12,GM,1682533073
302,khorixas,-20.3667,14.9667,299.32,47,86,5.38,NA,1682533073
303,hobyo,5.3505,48.5268,302.49,74,13,7.0,SO,1682533074
304,dolinsk,47.35,142.8,274.86,90,71,2.08,RU,1682533074
305,fort myers shores,26.7092,-81.7459,305.95,51,75,5.66,US,1682533075
306,carnarvon,-24.8667,113.6333,292.96,68,0,7.26,AU,1682533075
307,sinabang,2.4803,96.3801,300.08,83,100,1.78,ID,1682533076
308,farasan,16.7022,42.1183,302.44,79,63,3.35,SA,1682533076
309,mosfellsbaer,64.1667,-21.7,276.88,70,75,3.6,IS,1682533077
310,rongelap,11.1635,166.8941,300.14,80,98,9.33,MH,1682533077
311,usinsk,65.9939,57.5281,268.82,90,11,1.16,RU,1682533077
